,PC1,PC2,PC3,cell_type
100.15.057,-1.2652691679614798,3.53499229443287,-0.3828690081660023,Epithelial
100.15.058,-0.4027991440031367,1.8571416025184135,0.8627340629883675,Endothelial
100.15.06,-2.128481828551572,4.50125705711652,-0.2312254324767727,T_CD3
100.15.062,-0.8087028658868627,2.8970065595059085,-0.11807744246220057,Fibroblast
100.15.063,-2.263133281772598,2.9277117849576717,2.4940524550192604,Fibroblast
100.15.071,-2.4335381912591645,5.097492323627027,0.9687204961313893,Epithelial
100.15.072,-2.191097793572033,4.73804200397407,0.4123928024583915,Endothelial
100.15.073,-0.9214535126532618,2.993431004489185,0.3889004064269627,Endothelial
100.15.074,-0.38288819473664615,3.7548734396622705,-0.8078137536507646,Fibroblast
100.15.075,-0.9556929365996926,3.8974541616901246,-0.2374055798997061,Epithelial
100.15.076,-1.714760742703104,3.847727165473154,-0.16795303156187955,Smooth muscle
100.16.002,-2.098208533110128,5.32562576801684,-1.9435419546338697,Epithelial
100.16.005,-1.6866077291574744,4.2219772599706875,-0.14234464165024388,Smooth muscle
100.16.014,-2.992873769764561,5.313892653178441,0.1918111235908814,T_CD3
100.16.015,-2.342841361515365,4.490269233740663,0.02001030373400662,T_CD3
100.16.016,-1.9527950779760759,4.657555493337336,-0.922432697262229,Epithelial
100.16.018,-1.7091560243035704,3.663569561630162,-0.672160201653178,Endothelial
100.16.019,-0.9410047542549693,3.9174149719220406,1.354809275708549,B
100.16.028,-3.0755539831283496,6.775894542392563,-2.0858573533400944,Epithelial
100.16.029,-2.4920122081465843,5.802278013522068,-0.3718206205039809,Epithelial
100.16.031,-1.3137407920215565,4.477354339685062,-1.2334757571385897,Endothelial
100.16.034,-0.9823770757018532,4.0189501861721055,1.0526206094198942,B
100.16.035,-1.1158098782291686,4.268693957940748,-1.0133590422108447,Epithelial
100.16.036,-2.2417890829424376,5.420145882759708,0.5061827015147589,T_CD3
100.16.037,-1.307199130713311,4.259155711512042,-0.24948053031327846,Epithelial
100.16.042,-0.18466360824962738,2.0938862924297332,-0.2880622836459384,Fibroblast
100.16.043,-0.8148159649864778,2.404950477982026,-0.06477634613133636,Epithelial
100.16.048,0.04842839485824649,2.532371843981682,1.1456396940377058,
100.16.051,-2.04602959176062,4.982576023521741,0.36796054257020727,Endothelial
100.16.053,-1.9718245517007924,3.6201510751339336,1.3756640709433112,Smooth muscle
100.16.057,-1.3891770905379797,3.1038632957470753,-1.0340587347583117,Epithelial
100.16.071,-0.8768204334783092,3.670214988008577,-0.0690585600673924,Smooth muscle
100.16.076,-2.0855106247193977,3.8867672452471087,0.6240496544740388,Smooth muscle
100.17.002,-1.1640101864557735,3.768723575065131,-1.0326536294269062,
100.17.006,-0.6606419692647855,3.6307910793673877,-0.5262098134711618,Endothelial
100.17.008,-0.9129487464924049,3.939459667478847,0.052481144606612906,Epithelial
100.17.009,-1.3241727382001052,3.478712271278404,2.3411452815318823,
100.17.015,-2.7125334997250805,6.32760872795591,-0.8634991058860346,T_CD3
100.17.016,-1.6352427606747468,3.351161043908003,-1.666778957957918,Endothelial
100.17.018,-0.9230880682347402,2.63010013172922,-1.3443208545923233,Endothelial
100.17.02,-1.4714445411338064,3.7689738068851657,-0.5859751835133922,Smooth muscle
100.17.022,-2.0722734384313117,3.6742175583930443,1.2409855398813638,Endothelial
100.17.026,-2.3184514891268346,5.402115452542519,0.2500136170232373,T_CD3
100.17.028,-3.728751649884097,9.11218553802589,-0.8178056794136626,Epithelial
100.17.03,-2.4585567618143047,5.261469178190039,0.09390117102648653,T_CD3
100.17.031,-2.3204121427695106,6.402341079151981,-0.3377328784164613,Epithelial
100.17.033,-1.138818993520154,3.445740210691908,1.2650481331838188,
